category,observed_BB,expected_BB,observed_WW,expected_WW,observed_BW,expected_BW,p_value_chi2
0,3.8848e+05,2.9399e+05,1.7329e+05,7.7309e+04,1.1104e+05,3.0151e+05,0.0000e+00
11,6.6728e+04,1.4526e+04,5.4101e+05,4.8961e+05,6.5069e+04,1.6868e+05,0.0000e+00
2,7.3806e+04,2.0435e+04,5.1137e+05,4.5875e+05,8.7631e+04,1.9363e+05,0.0000e+00
4,2.9190e+03,2.8669e+01,6.6699e+05,6.6405e+05,2.9010e+03,8.7268e+03,0.0000e+00
8,3.1700e+02,4.5345e-01,6.7201e+05,6.7169e+05,4.8100e+02,1.1148e+03,0.0000e+00
1,1.4320e+03,1.0762e+01,6.6884e+05,6.6741e+05,2.5370e+03,5.3848e+03,0.0000e+00
5,2.5590e+03,2.6967e+01,6.6686e+05,6.6432e+05,3.3960e+03,8.4671e+03,0.0000e+00
10,1.2000e+01,2.0020e-03,6.7277e+05,6.7276e+05,3.0000e+01,5.3694e+01,0.0000e+00
7,7.0000e+00,1.0010e-03,6.7279e+05,6.7278e+05,1.0000e+01,2.9846e+01,0.0000e+00
