category,observed_BB,expected_BB,observed_WW,expected_WW,observed_BW,expected_BW,p_value_chi2
0,5.2549e+05,4.4361e+05,1.0451e+05,2.3779e+04,4.2811e+04,2.0542e+05,0.0000e+00
1,2.7728e+04,2.8589e+03,6.1276e+05,5.8792e+05,3.2325e+04,8.2035e+04,0.0000e+00
3,3.7431e+04,4.2683e+03,6.0411e+05,5.6989e+05,3.1271e+04,9.8648e+04,0.0000e+00
2,1.8918e+04,1.2531e+03,6.3381e+05,6.1602e+05,2.0081e+04,5.5535e+04,0.0000e+00
