category,observed_BB,expected_BB,observed_WW,expected_WW,observed_BW,expected_BW,p_value_chi2
C,2.3744e+05,1.2050e+05,3.4084e+05,2.2382e+05,9.4537e+04,3.2849e+05,0.0000e+00
D,9.4461e+04,2.1786e+04,5.2490e+05,4.5244e+05,5.3451e+04,1.9859e+05,0.0000e+00
B,1.9530e+05,8.3949e+04,3.9291e+05,2.8143e+05,8.4597e+04,3.0743e+05,0.0000e+00
,2.2032e+04,1.1836e+03,6.3840e+05,6.1757e+05,1.2383e+04,5.4057e+04,0.0000e+00
A,7.4100e+02,1.6777e+00,6.7140e+05,6.7068e+05,6.6600e+02,2.1332e+03,0.0000e+00
None,4.0000e+00,3.0030e-03,6.7277e+05,6.7274e+05,3.2000e+01,7.1589e+01,0.0000e+00
