category,observed_BB,expected_BB,observed_WW,expected_WW,observed_BW,expected_BW,p_value_chi2
Media P2,9.4041e+04,2.6132e+04,5.0072e+05,4.3374e+05,7.8050e+04,2.1294e+05,0.0000e+00
Molto elevata P4,8.2227e+04,1.8294e+04,5.3258e+05,4.6922e+05,5.8003e+04,1.8530e+05,0.0000e+00
Moderata P1,1.8666e+05,7.7227e+04,4.0388e+05,2.9410e+05,8.2271e+04,3.0148e+05,0.0000e+00
Elevata P3,3.5476e+04,4.6247e+03,5.9662e+05,5.6582e+05,4.0712e+04,1.0236e+05,0.0000e+00
Aree di Attenzione AA,1.6826e+04,5.4807e+02,6.5148e+05,6.3493e+05,4.5080e+03,3.7333e+04,0.0000e+00
