antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ascending_soil_presence=0', 'surface_stoniness_class=4'})","frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})",0.07239814991374838,0.0661676341334705,0.053910590989920314,0.7446404508146515,11.253847301123006,1.0,0.04912017669448726,3.656931447622202,0.9822549395118659,0.6368255631220536,0.7265466924051265,0.7796990874138937
"frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})","frozenset({'ascending_soil_presence=0', 'surface_stoniness_class=4'})",0.0661676341334705,0.07239814991374838,0.053910590989920314,0.814757724013136,11.253847301123006,1.0,0.04912017669448726,5.007506224723939,0.9757013490339801,0.6368255631220536,0.8002997989173485,0.7796990874138937
"frozenset({'surface_stoniness_class=4', 'descending_soil_presence=0'})","frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})",0.07226511398961433,0.0661676341334705,0.05379529318900414,0.7444158075601375,11.25045223860557,1.0,0.049013681565925796,3.653717223087867,0.9820851818227085,0.6355967725034058,0.7263061318262419,0.7787155105088404
"frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})","frozenset({'surface_stoniness_class=4', 'descending_soil_presence=0'})",0.0661676341334705,0.07226511398961433,0.05379529318900414,0.8130152134575431,11.250452238605568,1.0,0.049013681565925796,4.961552772100706,0.9756726340978021,0.6355967725034058,0.7984501937330795,0.7787155105088404
"frozenset({'descending_soil_presence=0', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4'})",0.11006948909770602,0.05451812171013246,0.05379529318900414,0.48873937391724753,8.964714091138854,1.0,0.047794511385803304,1.8493148700577466,0.9983381116029488,0.4855507524815882,0.459259201236632,0.7377404369179534
"frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4'})","frozenset({'descending_soil_presence=0', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})",0.05451812171013246,0.11006948909770602,0.05379529318900414,0.9867414999186594,8.964714091138852,1.0,0.047794511385803304,67.12150736829909,0.9396811997275114,0.4855507524815882,0.9851016456690558,0.7377404369179534
"frozenset({'ascending_soil_presence=0', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4'})",0.11041981703125901,0.05451812171013246,0.053910590989920314,0.4882329317269076,8.955424662698295,1.0,0.047890709965799576,1.847484797097834,0.9986011985494891,0.485561369173623,0.458723556712957,0.7385446422096389
"frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4'})","frozenset({'ascending_soil_presence=0', 'usda_hydrologic_group=C', 'rooting_depth_class=4'})",0.05451812171013246,0.11041981703125901,0.053910590989920314,0.9888563526923703,8.955424662698295,1.0,0.047890709965799576,79.82845817093217,0.9395588189645989,0.485561369173623,0.9874731389918774,0.7385446422096389
"frozenset({'usda_hydrologic_group=C', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4', 'descending_soil_presence=0'})",0.11100074056664434,0.05430969876232245,0.05379529318900414,0.48463904758099957,8.92361877575391,1.0,0.04776687640643498,1.8350057310294814,0.9988060507595282,0.48240346761045055,0.4550425739330108,0.737583670112048
"frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4', 'descending_soil_presence=0'})","frozenset({'usda_hydrologic_group=C', 'rooting_depth_class=4'})",0.05430969876232245,0.11100074056664434,0.05379529318900414,0.9905282926430963,8.92361877575391,1.0,0.04776687640643498,93.85839595069237,0.9389308934232292,0.48240346761045055,0.9893456521404292,0.737583670112048
