,count,missing_count,missing_pct,mean,std,variance,min,5%,25%,50%,75%,95%,max,skewness
erd_E26000_5,225503.0,0,0.0,4401.429989844924,12236.360790259856,149728525.3894088,149.0,163.0,677.0,2134.0,3104.0,9528.0,74144.0,5.380811259365865
erd_E55000_7,225503.0,0,0.0,526.34976031361,1786.174644525259,3190419.8607449355,10.0,17.0,56.0,171.0,312.0,866.0,10776.0,5.492183206566753
erd_E75000_1,225503.0,0,0.0,398.3014194933105,1434.6222321570199,2058140.9489991905,6.0,10.0,44.0,123.0,210.0,588.0,8643.0,5.517671148319615
erd_E_GE1200,225503.0,0,0.0,203.5777085005521,747.4548953173386,558688.8205338536,0.0,0.0,13.0,67.0,88.0,331.0,4496.0,5.505204321448784
edst_acq_imm,225503.0,0,0.0,2729.9402580010023,8279.963668260229,68557798.34770937,0.0,89.0,432.0,1268.0,1807.0,5186.0,50099.0,5.4411594009927216
edst_acq_erog,225503.0,0,0.0,1542.2710030465228,4579.396850729093,20970875.516467534,0.0,64.0,310.0,692.0,1033.0,2955.0,27724.0,5.43090163422409
eidx_COMP_FRA,225503.0,0,0.0,3.31664323756225,1.469491800856348,2.1594061527840327,1.0,1.0,2.0,3.0,4.0,6.0,6.0,0.34821820996650843
eidx_LAND_CON,225503.0,0,0.0,7.2846404704150265,7.538553225972989,56.829784740827755,1.47,1.49,3.23,5.24,8.73,20.38,41.72,3.162707894934354
eidx_EMPL_RAT,225503.0,0,0.0,72.76133643454854,1.5900861714933952,2.5283740327745226,68.88,69.89,71.79,72.98,73.68,75.63,76.66,0.06522017005308
eidx_POP_25_6,225503.0,0,0.0,38.42727826237345,4.856293924010947,23.583590676385636,25.44,26.27,35.38,38.64,42.27,44.25,45.7,-0.9315006158621209
eidx_POP_DEPE,225503.0,0,0.0,74.93950209088128,5.650580325818837,31.929058018530917,61.21,68.43,71.1,73.26,77.91,85.74,86.49,0.4686214635519865
eidx_INDEX_AC,225503.0,0,0.0,29.778769240320532,14.82467585053905,219.7710140735557,0.0,0.0,21.1,29.5,42.4,53.7,53.7,-0.30414401786980066
eidx_PERSEMP,225503.0,0,0.0,7.619849846786961,3.1767743924054024,10.091895540242714,2.0,3.0,5.0,7.0,10.0,14.0,15.0,0.5135565936566311
nearest_hydro_distance_m,225503.0,0,0.0,6189.603194321139,3255.5544656543148,10598634.878841752,0.0,1490.76385,3692.5460000000003,5836.4828,8357.936450000001,11994.20925,20625.7696,0.5377023334203912
nearest_hydro_river_stage_max_m,225503.0,0,0.0,0.712896627539323,1.2852382852455635,1.6518374498609567,-4.1913,-3.8281,0.3856,0.8965,1.3829,1.9536,2.5497,-2.6270338624073797
nearest_hydro_river_stage_mean_m,225503.0,0,0.0,0.17992775750211745,1.5792839704408808,2.4941378592915124,-6.096,-5.6456,0.1905,0.5538,0.952,1.1678,2.2328,-3.1542716449675474
nearest_hydro_river_stage_std_m,225503.0,0,0.0,0.2520224351782459,0.20669996695600942,0.042724876339615386,0.0146,0.0443,0.1123,0.1622,0.3415,0.6666,1.0217,1.8384283022245036
nearest_hydro_quota,225503.0,0,0.0,113.9546573216321,103.94364604636027,10804.281553411029,0.0,0.0,25.0,102.0,148.0,323.0,323.0,0.7055684904266691
idw_temp_max_peak,225503.0,0,0.0,25.940671036748956,1.8428073706850956,3.395939005451315,20.0968,22.86671,24.3891,26.2206,27.673,28.3375,29.6621,-0.32768594025558573
idw_temp_min_nadir,225503.0,0,0.0,2.1995088233859414,1.028490190518841,1.057792071993482,-0.2045,0.757,1.1392,2.4194,3.1505,3.5998,4.2363,-0.11877605204960179
idw_temp_thermal_range,225503.0,0,0.0,23.741162286089317,1.0801018065487435,1.1666199125098595,19.0611,21.9229,23.0381,23.7904,24.5646,25.307190000000002,27.2722,-0.25970478104924083
idw_rain_mm_sum_annual,225503.0,0,0.0,639.2009136432774,127.32862426939674,16212.578558337209,447.8794,491.35555,523.4269999999999,602.1794,754.3430000000001,854.6076599999999,1068.8699,0.4799959502055941
idw_rain_mm_max_monthly,225503.0,0,0.0,8.0729429138415,2.290022767331322,5.244204274895807,5.1765,5.6887,6.3763,7.2435,9.1824,13.3228,16.1171,1.193633512777466
idw_rain_mm_min_monthly,225503.0,0,0.0,0.10678995933535254,0.09076383515066283,0.008238073771256698,0.0002,0.0211,0.0445,0.0725,0.1496,0.303,0.6584,1.7408826951756733
idw_rain_mm_avg_monthly,225503.0,0,0.0,2.9974311241979055,0.596863203483263,0.35624568367230314,2.0996,2.303,2.4545,2.8248,3.5378499999999997,4.0073,5.0109,0.47745919948998317
idw_rain_mm_std,225503.0,0,0.0,2.078919375795444,0.4831586831942577,0.23344231314600908,1.4053,1.5333,1.6753,1.9302,2.4163,2.9663,3.4655,0.7020865999080982
idw_wind_speed_max_max,225503.0,0,0.0,12.351544100078492,3.7425037565930555,14.006334368113132,6.9547,8.5616,9.34095,10.1687,15.90025,18.59879,30.499,0.8251010817421185
idw_wind_speed_max_95p,225503.0,0,0.0,10.673181157678611,2.6830442514393713,7.198726455181857,6.9231,8.0189,8.6467,9.3607,12.63655,15.464989999999998,26.3431,1.1517601984031236
idw_wind_speed_avg_mean,225503.0,0,0.0,2.2194957911868136,0.7191215502079702,0.5171358039735142,1.0495,1.4321,1.698,1.9137,2.7457,3.4986899999999994,6.6659,1.1859237352290235
dtmidcnt_mean,225503.0,0,0.0,373.383661655499,275.26351816591654,75770.00443307788,0.0,37.881530000000005,151.97845,303.1035,549.1953,909.66182,1634.341,0.8306659699682598
dtmidcnt_max,225503.0,0,0.0,391.3641425032039,282.4734004689461,79791.22197248961,0.0,40.02311,166.09785,319.2646,575.8921499999999,939.22551,1655.348,0.7998786322754848
