Category,Count,Percentage (%)
"Geospatial (SHP, XML, Map Service, DOC)",212,77.09%
Tabular (CSV),37,13.45%
Quantitative (thousands of cubic meters),20,7.27%
Geodata,3,1.09%
CAD/GIS Exchange (DXF),2,0.73%
Economic Index,1,0.36%
