Category,Count,Percentage (%)
GeoDati - RNDT,131,47.64%
Regione Emilia-Romagna (Consolidated CDT_GPGSA),75,27.27%
Comune di Prato,49,17.82%
Autonomous Province of Bolzano - South Tyrol (Dati.gov.it),13,4.73%
Consorzio Dei Comuni della Valle D'Aosta Bacino Imbrifero Montano della Dora Baltea,4,1.45%
Marche Regional Authority,1,0.36%
OpenStreetMap (OSM),1,0.36%
INGV (CFtI),1,0.36%
