Value,Count,Percentage (%)
<NA>,10764,98.55%
annual,88,0.81%
unknown,20,0.18%
never,16,0.15%
irreg,9,0.08%
daily,7,0.06%
monthly,7,0.06%
cont,6,0.05%
bimonthly,3,0.03%
biweekly,2,0.02%
