Value,Count,Percentage (%)
toscana,5218,47.78%
emilia romagna,1633,14.95%
trentino alto adige sudtirol,741,6.78%
place-specific,675,6.18%
veneto,533,4.88%
piemonte,508,4.65%
lombardia,482,4.41%
basilicata,186,1.70%
sardegna,167,1.53%
campania,131,1.20%
umbria,122,1.12%
lazio,115,1.05%
liguria,104,0.95%
puglia,88,0.81%
calabria,78,0.71%
marche,42,0.38%
sicilia,33,0.30%
valle aosta vallee aoste,28,0.26%
friuli venezia giulia,20,0.18%
molise,10,0.09%
abruzzo,8,0.07%
