Value,Count,Percentage (%)
old.arpa.puglia.it,2,0.02%
dati.arpa.puglia.it,2,0.02%
public.tableau.com,2,0.02%
geoportale.igr.piemonte.it,2,0.02%
provincia.fc.it,2,0.02%
servizi.regione.piemonte.it,2,0.02%
geoserver.comune.re.it,2,0.02%
territorio.provincia.tn.it,2,0.02%
dati.comune.matera.it,2,0.02%
dati.trentino.it,2,0.02%
opendata.comune.rimini.it,2,0.02%
lod.dati.lombardia.it,2,0.02%
poggibonsi.ldpgis.it,2,0.02%
geonext.comune.modena.it,2,0.02%
supportsiss.lispa.it,2,0.02%
ows,2,0.02%
protezionecivile.gov.it,2,0.02%
sardegnageoportale.it,2,0.02%
monteargentario.ldpgis.it,2,0.02%
dati.emilia-romagna.it,2,0.02%
zenodo.org,2,0.02%
groupware.sinanet.isprambiente.it,2,0.02%
gis.comune.trento.it,2,0.02%
meteohub.agenziaitaliameteo.it,2,0.02%
mappe.cittametropolitana.fi.it,2,0.02%
giscartografia.regione.marche.it,2,0.02%
decimetro.cittametropolitana.mi.it,2,0.02%
sistemapiemonte.it,2,0.02%
servizi.piemonte.it,2,0.02%
conoscenzaambientale.sistemapiemonte.it,2,0.02%
agricoltura.provincia.bz.it,2,0.02%
geoservices5.civis.bz.it,2,0.02%
Unknown,1,0.01%
lnx.autoritaidrica.puglia.it,1,0.01%
comune.loropiceno.mc.it,1,0.01%
autorit-idrica-toscana-api.municipiumapp.it,1,0.01%
forestefauna.provincia.tn.it,1,0.01%
opendata.comune.re.it,1,0.01%
comune.castelfidardo.an.it,1,0.01%
opendata.comunenumana.com,1,0.01%
ats-pavia.it,1,0.01%
gewässerschutzplan%20%7c%20landesagentur%20für%20umwelt%20und%20klimaschutz%20%7c%20autonome%20provinz%20bozen%20-%20südtirol,1,0.01%
piano%20di%20tutela%20delle%20acque%20%7c%20agenzia%20provinciale%20per%20l’ambiente%20e%20la%20tutela%20del%20clima%20%7c%20provincia%20autonoma%20di%20bolzano%20-%20alto%20adige,1,0.01%
provincia.fe.it,1,0.01%
datahub.civis.bz.it,1,0.01%
hub.dati.lombardia.it,1,0.01%
geoviewer.nnb.isprambiente.it,1,0.01%
opendata.marche.camcom.it,1,0.01%
mapservice.labassaromagna.it,1,0.01%
dati.enea.it,1,0.01%
\\smbsrv1.provincia.torino.it\arcdati\sitad\agricoltura_e_foreste\fauna_e_flora\pesca\ddep_polyg.shp,1,0.01%
hub.geosmartcity.eu,1,0.01%
comune.merano.bz.it,1,0.01%
mapwarper.net,1,0.01%
piersoft.it,1,0.01%
wgmatera.paesit.it,1,0.01%
dati.cittametropolitana.na.it,1,0.01%
bdt.autorita-trasporti.it,1,0.01%
sit.puglia.it,1,0.01%
rischi.protezionecivile.gov.it,1,0.01%
urbanistica-dati.provincia.tn.it,1,0.01%
cartografia.servizirl.it,1,0.01%
mappe.provincia.fi.it,1,0.01%
osservatorio.energia.provincia.tn.it,1,0.01%
siat.provincia.tn.it,1,0.01%
parcoaspromonte.gov.it,1,0.01%
halleyweb.com,1,0.01%
dati.comune.roma.it,1,0.01%
protezionecivile.comune.monsummano-terme.pt.it,1,0.01%
geoportale.regione.calabria.it,1,0.01%
comune.civitanova.mc.it,1,0.01%
sitr.regione.sicilia.it,1,0.01%
mosaicositicontaminati.isprambiente.it,1,0.01%
sinanet.isprambiente.it,1,0.01%
land.copernicus.eu,1,0.01%
soildatageneral.blob.core.windows.net,1,0.01%
194.243.104.176,1,0.01%
arcgis.com,1,0.01%
mydewetra.org,1,0.01%
demanio.provincia.bz.it,1,0.01%
cecina.ldpgis.it,1,0.01%
