Data;Altezza (m slm);Milioni mc
01/01/2020;249,92;59,32
02/01/2020;249,86;59,03
03/01/2020;249,75;58,49
04/01/2020;249,66;58,06
05/01/2020;249,56;57,57
06/01/2020;249,44;56,99
07/01/2020;249,33;56,45
08/01/2020;249,23;55,97
09/01/2020;249,22;55,92
10/01/2020;249,21;55,87
11/01/2020;249,2;55,82
12/01/2020;249,18;55,77
13/01/2020;249,15;55,58
14/01/2020;249,15;55,58
15/01/2020;249,15;55,58
16/01/2020;249,15;55,58
17/01/2020;249,15;55,58
18/01/2020;249,16;55,63
19/01/2020;249,15;55,58
20/01/2020;249,15;55,58
21/01/2020;249,15;55,58
22/01/2020;249,15;55,58
23/01/2020;249,15;55,58
24/01/2020;249,15;55,58
25/01/2020;249,15;55,58
26/01/2020;249,16;55,63
27/01/2020;249,18;55,73
28/01/2020;249,18;55,73
29/01/2020;249,21;55,87
30/01/2020;249,24;56,02
31/01/2020;249,3;56,31
01/02/2020;249,36;56,6
02/02/2020;249,57;57,62
03/02/2020;249,69;58,2
04/02/2020;249,75;58,49
05/02/2020;249,78;58,64
06/02/2020;249,78;58,64
07/02/2020;249,83;58,88
08/02/2020;249,83;58,88
09/02/2020;249,85;58,98
10/02/2020;249,85;58,98
11/02/2020;249,9;59,22
12/02/2020;249,93;59,37
13/02/2020;249,95;59,47
14/02/2020;250,13;60,27
15/02/2020;250,27;60,87
16/02/2020;250,31;61,04
17/02/2020;250,32;61,08
18/02/2020;250,36;61,25
19/02/2020;250,39;61,38
20/02/2020;250,4;61,42
21/02/2020;250,41;61,47
22/02/2020;250,42;61,51
23/02/2020;250,43;61,55
24/02/2020;250,43;61,55
25/02/2020;250,41;61,47
26/02/2020;250,4;61,42
27/02/2020;250,44;61,59
28/02/2020;250,58;62,19
29/02/2020;250,65;62,49
01/03/2020;250,66;62,54
02/03/2020;251,04;64,2
03/03/2020;252;69,14
04/03/2020;252,01;69,19
05/03/2020;251,73;67,75
06/03/2020;251,81;68,16
07/03/2020;251,68;67,49
08/03/2020;251,48;66,46
09/03/2020;251,37;65,9
10/03/2020;251,28;65,43
11/03/2020;251,19;64,97
12/03/2020;251,12;64,61
13/03/2020;251,04;64,2
14/03/2020;250,97;63,87
15/03/2020;250,83;63,27
16/03/2020;250,87;63,44
17/03/2020;250,87;63,44
18/03/2020;250,87;63,44
19/03/2020;250,87;63,44
20/03/2020;250,86;63,39
21/03/2020;250,86;63,39
22/03/2020;250,82;63,22
23/03/2020;250,82;63,22
24/03/2020;250,83;63,27
25/03/2020;250,85;63,35
26/03/2020;250,87;63,44
27/03/2020;250,88;63,48
28/03/2020;250,9;63,57
29/03/2020;250,89;63,52
30/03/2020;250,88;63,48
31/03/2020;250,87;63,44
01/04/2020;250,88;63,48
02/04/2020;250,89;63,48
03/04/2020;250,92;63,65
04/04/2020;250,9;63,57
05/04/2020;250,9;63,57
06/04/2020;250,92;63,65
07/04/2020;250,94;63,74
08/04/2020;250,94;63,74
09/04/2020;250,95;63,78
10/04/2020;250,96;63,82
11/04/2020;250,96;63,82
12/04/2020;250,96;63,82
