Data;Altezza (m slm);Milioni mc
01/01/2021;250,68;62,41
02/01/2021;250,85;63,35
03/01/2021;250,75;62,92
04/01/2021;250,61;62,32
05/01/2021;250,4;61,42
06/01/2021;250,43;61,55
07/01/2021;250,41;61,47
08/01/2021;250,35;61,21
09/01/2021;250,27;60,87
10/01/2021;250,16;60,39
11/01/2021;250,07;60,01
12/01/2021;250,01;59,75
13/01/2021;249,94;59,42
14/01/2021;249,87;59,08
15/01/2021;249,88;59,13
16/01/2021;249,87;59,08
17/01/2021;249,84;58,93
18/01/2021;249,83;58,88
19/01/2021;249,82;58,84
20/01/2021;249,85;58,99
21/01/2021;249,82;58,84
22/01/2021;249,84;58,94
23/01/2021;250,25;60,78
24/01/2021;250,97;63,87
25/01/2021;251,03;64,15
26/01/2021;250,77;63,01
27/01/2021;250,56;62,11
28/01/2021;250,42;61,51
29/01/2021;250,32;61,09
30/01/2021;250,25;60,79
31/01/2021;250,38;61,34
01/02/2021;250,42;61,51
02/02/2021;250,45;61,64
03/02/2021;250,43;61,56
04/02/2021;250,41;61,47
05/02/2021;250,38;61,34
06/02/2021;250,36;61,26
07/02/2021;250,37;61,3
08/02/2021;250,6;62,29
09/02/2021;251,07;64,36
10/02/2021;251,32;65,65
11/02/2021;251,48;66,47
12/02/2021;251,41;66,11
13/02/2021;251,33;66,7
14/02/2021;251,26;65,34
15/02/2021;251,2;65,03
16/02/2021;251,17;64,87
17/02/2021;251,12;64,62
18/02/2021;251,09;64,46
19/02/2021;251,05;64,26
20/02/2021;251,05;64,26
21/02/2021;251,04;64,21
22/02/2021;251,04;64,21
23/02/2021;251,04;64,21
24/02/2021;251,02;64,1
25/02/2021;251;64
26/02/2021;250,98;63,91
27/02/2021;250,98;63,91
28/02/2021;250,98;63,91
01/03/2021;250,99;63,95
02/03/2021;250,99;63,95
03/03/2021;250,99;63,95
04/03/2021;250,98;63,91
05/03/2021;250,98;63,91
06/03/2021;250,97;63,87
07/03/2021;250,95;63,79
08/03/2021;250,95;63,79
09/03/2021;250,93;63,7
10/03/2021;250,92;63,66
11/03/2021;250,93;63,7
12/03/2021;250,91;63,61
13/03/2021;250,93;63,7
14/03/2021;250,92;63,66
15/03/2021;250,96;63,83
16/03/2021;250,95;63,79
17/03/2021;250,94;63,74
18/03/2021;250,95;63,79
19/03/2021;250,94;63,74
20/03/2021;250,92;63,66
21/03/2021;250,9;63,57
22/03/2021;250,89;63,53
23/03/2021;250,91;63,61
24/03/2021;250,91;63,61
25/03/2021;250,91;63,61
26/03/2021;250,91;63,61
27/03/2021;250,92;63,66
28/03/2021;250,91;63,61
29/03/2021;250,9;63,57
30/03/2021;250,91;63,61
31/03/2021;250,89;63,53
01/04/2021;250,89;63,53
02/04/2021;250,87;63,44
03/04/2021;250,86;63,39
04/04/2021;250,88;63,49
05/04/2021;250,87;63,44
06/04/2021;250,87;63,44
07/04/2021;250,84;63,31
08/04/2021;250,85;63,36
09/04/2021;250,86;63,4
10/04/2021;250,86;63,4
11/04/2021;250,88;63,49
12/04/2021;251,07;64,36
13/04/2021;251,63;67,24
14/04/2021;251,82;68,22
15/04/2021;251,88;68,52
16/04/2021;251,95;68,88
17/04/2021;251,95;68,88
18/04/2021;251,95;68,88
19/04/2021;251,94;68,83
20/04/2021;251,91;68,68
21/04/2021;251,92;68,73
22/04/2021;251,91;68,68
23/04/2021;251,9;68,63
24/04/2021;251,89;68,58
25/04/2021;251,89;68,58
26/04/2021;251,89;68,58
27/04/2021;251,9;68,63
28/04/2021;251,92;68,73
29/04/2021;251,93;68,78
30/04/2021;252,06;69,14
01/05/2021;252,04;69,14
