Data;Altezza (m slm);Milioni mc
01/01/2025;249,78;58,64
02/01/2025;249,78;58,64
03/01/2025;249,83;58,88
04/01/2025;249,94;59,42
05/01/2025;249,88;59,13
06/01/2025;249,85;58,99
07/01/2025;249,82;58,84
08/01/2025;249,91;59,28
09/01/2025;249,94;59,42
10/01/2025;250,09;60,09
11/01/2025;250,11;60,19
12/01/2025;250,05;59,93
13/01/2025;249,99;59,67
14/01/2025;249,92;59,32
15/01/2025;249,85;58,99
16/01/2025;249,81;58,79
17/01/2025;249,81;58,79
18/01/2025;249,81;58,79
19/01/2025;249,81;58,79
20/01/2025;249,82;58,84
21/01/2025;249,82;58,84
22/01/2025;249,82;58,84
23/01/2025;249,94;59,42
24/01/2025;250;59,71
25/01/2025;249,98;59,62
26/01/2025;249,91;59,28
27/01/2025;249,91;59,28
28/01/2025;250,16;60,4
29/01/2025;250,82;63,23
30/01/2025;250,94;63,74
31/01/2025;250,96;63,82
01/02/2025;251,8;68,11
02/02/2025;251,88;68,52
03/02/2025;251,77;68
04/02/2025;251,54;66,78
05/02/2025;251,39;66
06/02/2025;251,25;65,29
07/02/2025;251,16;64,82
08/02/2025;251,08;64,41
09/02/2025;251,05;64,26
10/02/2025;251,05;64,26
11/02/2025;250,98;63,91
12/02/2025;250,94;63,74
13/02/2025;250,97;63,87
14/02/2025;251,12;64,62
15/02/2025;251,35;65,79
16/02/2025;251,31;65,59
17/02/2025;251,24;65,23
18/02/2025;251,16;64,82
19/02/2025;251,08;64,41
20/02/2025;251,03;64,15
21/02/2025;250,94;63,74
22/02/2025;250,86;63,4
23/02/2025;250,78;63,06
24/02/2025;250,8;63,14
25/02/2025;250,87;63,44
26/02/2025;250,9;63,57
27/02/2025;251,04;64,2
28/02/2025;251,03;64,15
01/03/2025;250,99;63,95
02/03/2025;250,96;63,82
03/03/2025;250,91;63,61
04/03/2025;250,89;63,52
05/03/2025;250,88;63,49
06/03/2025;250,88;63,49
07/03/2025;250,87;63,44
08/03/2025;250,87;63,44
09/03/2025;250,86;63,39
10/03/2025;250,87;63,44
11/03/2025;250,91;63,61
12/03/2025;250,97;63,87
13/03/2025;251,42;66,16
14/03/2025;252,1;69,6
15/03/2025;252,64;72,84
16/03/2025;252,3;70,8
17/03/2025;252,18;70,08
18/03/2025;252,09;69,54
19/03/2025;252,06;69,36
20/03/2025;251,47;66,41
21/03/2025;250,61;62,32
22/03/2025;250,13;60,27
23/03/2025;250,22;60,66
24/03/2025;250,22;60,66
25/03/2025;250,24;60,74
26/03/2025;250,3;60,99
27/03/2025;250,33;61,12
28/03/2025;250,42;61,51
29/03/2025;250,47;61,73
30/03/2025;250,53;61,99
31/03/2025;250,59;62,24
01/04/2025;250,62;62,37
02/04/2025;250,64;62,45
03/04/2025;250,7;62,71
04/04/2025;250,73;62,84
05/04/2025;250,76;62,97
06/04/2025;250,78;63,06
07/04/2025;250,8;63,14
08/04/2025;250,82;63,22
09/04/2025;250,82;63,22
10/04/2025;250,86;63,39
11/04/2025;250,87;63,44
12/04/2025;250,87;63,44
13/04/2025;250,89;63,52
14/04/2025;250,95;63,78
15/04/2025;251,59;67,03
16/04/2025;252,09;69,54
17/04/2025;252,08;69,48
18/04/2025;252,15;69,9
19/04/2025;252,1;69,6
20/04/2025;252,04;69,24
21/04/2025;251,99;69,09
22/04/2025;251,93;68,78
23/04/2025;251,89;68,57
24/04/2025;251,89;68,57
25/04/2025;251,91;68,67
26/04/2025;251,91;68,67
27/04/2025;251,91;68,67
28/04/2025;251,91;68,67
29/04/2025;251,91;68,67
30/04/2025;251,9;68,62
01/05/2025;251,88;68,52
02/05/2025;251,89;68,57
03/05/2025;251,88;68,52
04/05/2025;251,85;68,37
05/05/2025;251,64;67,29
06/05/2025;251,74;67,8
07/05/2025;251,7;67,59
08/05/2025;251,64;67,29
09/05/2025;251,63;67,23
10/05/2025;251,62;67,19
11/05/2025;251,62;67,19
12/05/2025;251,62;67,19
13/05/2025;251,63;67,23
14/05/2025;251,63;67,23
15/05/2025;251,64;67,29
16/05/2025;251,67;67,45
17/05/2025;251,7;67,59
18/05/2025;251,7;67,59
19/05/2025;251,69;67,54
20/05/2025;251,7;67,59
21/05/2025;251,72;67,7
22/05/2025;251,72;67,7
23/05/2025;251,72;67,7
24/05/2025;251,73;67,75
25/05/2025;251,72;67,7
26/05/2025;251,72;67,7
27/05/2025;251,71;67,65
28/05/2025;251,71;67,65
29/05/2025;251,72;67,7
30/05/2025;251,71;67,65
31/05/2025;251,71;67,65
01/06/2025;251,7;67,6
02/06/2025;251,69;67,55
03/06/2025;251,69;67,55
04/06/2025;251,67;67,44
05/06/2025;251,67;67,44
06/06/2025;251,65;67,34
07/06/2025;251,66;67,39
08/06/2025;251,64;67,29
09/06/2025;251,62;67,18
10/06/2025;251,63;67,23
11/06/2025;251,62;67,18
12/06/2025;251,61;67,14
13/06/2025;251,58;66,98
14/06/2025;251,55;66,82
15/06/2025;251,54;66,77
16/06/2025;251,5;66,57
17/06/2025;251,46;66,36
18/06/2025;251,45;66,31
19/06/2025;251,41;66,1
20/06/2025;251,4;66,05
21/06/2025;251,37;65,9
22/06/2025;251,33;65,7
23/06/2025;251,3;65,54
24/06/2025;251,28;65,44
25/06/2025;251,25;65,28
26/06/2025;251,23;65,18
27/06/2025;251,17;64,87
28/06/2025;251,15;64,77
29/06/2025;251,11;64,57
30/06/2025;251,07;64,35
01/07/2025;251,01;64,05
02/07/2025;250,99;63,95
03/07/2025;250,95;63,78
04/07/2025;250,91;63,61
05/07/2025;250,88;63,48
06/07/2025;250,83;63,27
07/07/2025;250,77;63,01
08/07/2025;250,77;63,01
09/07/2025;250,73;62,84
10/07/2025;250,7;62,71
11/07/2025;250,65;62,49
12/07/2025;250,62;62,37
13/07/2025;250,58;62,2
14/07/2025;250,54;62,03
15/07/2025;250,5;61,86
16/07/2025;250,46;61,69
17/07/2025;250,42;61,51
18/07/2025;250,37;61,3
19/07/2025;250,33;61,13
20/07/2025;250,28;60,91
21/07/2025;250,23;60,69
22/07/2025;250,16;60,4
23/07/2025;250,13;60,27
24/07/2025;250,08;60,05
25/07/2025;250,02;59,79
26/07/2025;249,98;59,62
27/07/2025;249,95;59,47
28/07/2025;249,89;59,18
29/07/2025;249,86;59,03
30/07/2025;249,82;58,84
31/07/2025;249,78;58,65
01/08/2025;249,75;58,5
02/08/2025;249,69;58,21
03/08/2025;249,65;58,01
04/08/2025;249,58;57,67
05/08/2025;249,54;57,48
06/08/2025;249,49;57,23
07/08/2025;249,44;56,99
08/08/2025;249,38;56,7
09/08/2025;249,32;56,41
10/08/2025;249,25;56,07
11/08/2025;249,2;55,82
12/08/2025;249,14;55,53
13/08/2025;249,07;55,19
14/08/2025;249,01;54,9
15/08/2025;248,95;54,61
16/08/2025;248,88;54,27
17/08/2025;248,83;54,03
18/08/2025;248,76;53,69
19/08/2025;248,7;53,39
20/08/2025;248,64;53,1
21/08/2025;248,66;53,2
22/08/2025;248,67;53,24
23/08/2025;248,63;53,09
24/08/2025;248,6;52,91
25/08/2025;248,56;52,71
26/08/2025;248,51;52,47
27/08/2025;248,48;52,33
28/08/2025;248,45;52,18
29/08/2025;248,42;52,03
30/08/2025;248,4;51,94
31/08/2025;248,38;51,84
01/09/2025;248,38;51,84
02/09/2025;248,37;51,79
03/09/2025;248,37;51,79
04/09/2025;248,35;51,69
05/09/2025;248,3;51,45
06/09/2025;248,26;51,26
07/09/2025;248,22;51,06
08/09/2025;248,16;50,77
09/09/2025;248,13;50,63
10/09/2025;248,11;50,53
11/09/2025;248,1;50,48
12/09/2025;248,1;50,48
13/09/2025;248,08;50,38
14/09/2025;248,04;50,19
15/09/2025;248,03;50,14
16/09/2025;247,99;49,96
17/09/2025;247,95;49,8
18/09/2025;247,91;49,64
19/09/2025;247,86;49,44
20/09/2025;247,81;49,24
21/09/2025;247,77;49,08
22/09/2025;247,72;48,88
23/09/2025;247,74;48,96
24/09/2025;247,71;48,84
25/09/2025;247,67;48,68
26/09/2025;247,64;48,56
27/09/2025;247,6;48,4
28/09/2025;247,58;48,32
29/09/2025;247,53;48,12
30/09/2025;247,49;47,96
01/10/2025;247,47;47,88
02/10/2025;247,41;47,64
03/10/2025;247,38;47,52
04/10/2025;247,33;47,32
05/10/2025;247,3;47,2
06/10/2025;247,27;47,08
07/10/2025;247,23;46,92
08/10/2025;247,22;46,88
09/10/2025;247,18;46,72
10/10/2025;247,14;46,56
11/10/2025;247,09;46,36
12/10/2025;247,05;46,2
13/10/2025;247,03;46,12
14/10/2025;246,97;45,87
15/10/2025;246,95;45,78
16/10/2025;246,91;45,61
17/10/2025;246,85;45,35
18/10/2025;246,83;45,27
19/10/2025;246,78;45,05
20/10/2025;246,75;44,92
21/10/2025;246,72;44,79
22/10/2025;246,78;45,05
23/10/2025;246,86;45,39
24/10/2025;247,21;46,84
25/10/2025;247,25;47
26/10/2025;247,26;47,04
27/10/2025;247,33;47,32
28/10/2025;247,36;47,44
29/10/2025;247,36;47,44
30/10/2025;247,35;47,4
31/10/2025;248,06;50,29
01/11/2025;248,18;50,87
02/11/2025;248,22;51,07
03/11/2025;248,33;51,6
04/11/2025;248,41;51,99
05/11/2025;248,43;52,09
06/11/2025;248,45;52,18
07/11/2025;248,45;52,18
08/11/2025;248,46;52,23
09/11/2025;248,48;52,33
10/11/2025;248,47;52,28
11/11/2025;248,47;52,28
12/11/2025;248,48;52,33
13/11/2025;248,46;52,23
14/11/2025;248,48;52,33
15/11/2025;248,48;52,33
16/11/2025;248,48;52,33
17/11/2025;248,6;52,96
18/11/2025;248,93;54,51
19/11/2025;249,02;54,95
20/11/2025;249,1;55,34
21/11/2025;249,16;55,63
22/11/2025;249,19;55,77
23/11/2025;249,27;56,16
24/11/2025;249,32;56,41
25/11/2025;250,37;61,29
26/11/2025;250,52;61,94
27/11/2025;250,41;61,47
28/11/2025;250,32;61,08
29/11/2025;250,22;60,66
30/11/2025;250,12;60,23
01/12/2025;250,05;59,92
02/12/2025;249,97;59,56
03/12/2025;249,89;59,17
04/12/2025;249,8;58,74
05/12/2025;249,79;58,69
06/12/2025;249,76;58,54
07/12/2025;249,74;58,45
08/12/2025;249,72;58,35
09/12/2025;249,68;58,15
10/12/2025;249,69;58,21
11/12/2025;249,69;58,21
12/12/2025;249,69;58,21
13/12/2025;249,68;58,16
14/12/2025;249,66;58,06
15/12/2025;249,67;58,11
16/12/2025;249,67;58,11
17/12/2025;249,7;58,25
18/12/2025;249,76;58,54
19/12/2025;249,77;58,59
20/12/2025;249,82;58,83
21/12/2025;249,83;58,88
22/12/2025;249,83;58,88
23/12/2025;249,82;58,83
24/12/2025;249,81;58,79
25/12/2025;249,95;59,47
26/12/2025;250,02;59,79
27/12/2025;250,06;59,97
28/12/2025;250,08;60,06
29/12/2025;250,07;60,01
