Data;Altezza (m slm);Milioni mc
01/01/2026;249,99;59,99
02/01/2026;249,98;59,61
03/01/2026;249,97;59,56
04/01/2026;249,93;59,37
05/01/2026;249,89;59,17
06/01/2026;249,83;58,89
07/01/2026;249,8;58,74
08/01/2026;249,79;58,69
09/01/2026;249,76;58,55
10/01/2026;249,9;59,23
11/01/2026;249,93;59,37
12/01/2026;249,9;59,23
13/01/2026;249,87;59,08
14/01/2026;249,89;59,17
15/01/2026;249,9;59,23
16/01/2026;249,93;59,37
17/01/2026;249,92;59,32
18/01/2026;249,9;59,23
19/01/2026;249,83;58,89
20/01/2026;249,78;58,65
21/01/2026;249,77;58,59
22/01/2026;249,75;58,49
23/01/2026;249,72;58,35
24/01/2026;249,88;59,13
25/01/2026;250,36;61,26
26/01/2026;250,66;62,54
27/01/2026;250,58;62,19
28/01/2026;250,52;61,94
29/01/2026;250,82;63,22
30/01/2026;250,74;62,88
31/01/2026;250,6;62,28
01/02/2026;250,47;61,72
02/02/2026;250,42;61,51
03/02/2026;250,42;61,51
04/02/2026;250,88;63,49
05/02/2026;251,42;66,15
06/02/2026;251,53;66,73
07/02/2026;251,64;67,29
08/02/2026;251,58;66,98
09/02/2026;251,49;66,51
10/02/2026;251,39;66
11/02/2026;251,34;65,74
12/02/2026;251,47;66,42
13/02/2026;251,56;66,88
14/02/2026;251,48;66,47
15/02/2026;251,52;66,67
16/02/2026;251,42;66,15
17/02/2026;251,4;66,05
18/02/2026;251,34;65,74
19/02/2026;251,26;65,33
20/02/2026;251,29;65,49
21/02/2026;251,25;65,28
22/02/2026;251,2;65,02
23/02/2026;251,14;64,71
24/02/2026;251,08;64,41
25/02/2026;251,01;64,05
26/02/2026;250,92;63,65
27/02/2026;250,84;63,31
28/02/2026;250,81;63,19
01/03/2026;250,77;63,01
02/03/2026;250,73;67,75
03/03/2026;250,71;62,75
04/03/2026;250,7;62,71
05/03/2026;250,69;62,67
06/03/2026;250,67;62,59
07/03/2026;250,67;62,59
08/03/2026;250,67;62,59
09/03/2026;250,67;62,59
10/03/2026;250,65;62,49
11/03/2026;250,67;62,59
12/03/2026;250,77;63,01
13/03/2026;250,83;63,27
14/03/2026;250,81;63,19
15/03/2026;250,78;63,06
16/03/2026;250,77;63,01
17/03/2026;250,75;62,92
18/03/2026;250,73;62,84
19/03/2026;250,73;62,84
20/03/2026;250,73;62,84
21/03/2026;250,73;62,84
22/03/2026;250,74;62,88
23/03/2026;250,72;62,79
24/03/2026;250,72;62,79
25/03/2026;250,71;62,75
26/03/2026;250,76;62,97
27/03/2026;251;64
28/03/2026;251,06;64,3
29/03/2026;251,07;64,35
30/03/2026;251,07;64,35
31/03/2026;251,07;64,35
01/04/2026;251,04;64,2
02/04/2026;251,05;64,25
03/04/2026;251,09;64,46
04/04/2026;251,1;64,51
05/04/2026;251,12;64,62
06/04/2026;251,13;64,67
07/04/2026;251,14;64,71
08/04/2026;251,15;64,77
09/04/2026;251,16;64,82
10/04/2026;251,16;64,82
11/04/2026;251,18;64,92
12/04/2026;251,18;64,92
13/04/2026;251,19;64,97
14/04/2026;251,21;65,08
15/04/2026;251,21;65,08
16/04/2026;251,22;65,13
17/04/2026;251,23;65,18
18/04/2026;251,23;65,18
19/04/2026;251,23;65,18
20/04/2026;251,23;65,18
21/04/2026;251,23;65,18
22/04/2026;251,21;65,08
23/04/2026;251,23;65,18
24/04/2026;251,22;65,13
25/04/2026;251,22;65,13
26/04/2026;251,22;65,13
27/04/2026;251,20;65,02
